date,open,high,low,close,volume,symbol,ma_7,ma_30,ma_90,daily_return,high_low_range,close_open_diff,is_bullish
2022-01-03,1830.0999755859373,1830.0999755859373,1798.800048828125,1799.4000244140625,116,XAU/USD,,,,,31.3,-30.7,0
2022-01-04,1800.5,1815.300048828125,1800.0,1814.0,38,XAU/USD,,,,0.0081,15.3,13.5,1
2022-01-05,1813.0999755859373,1824.5999755859373,1813.0999755859373,1824.5999755859373,8,XAU/USD,,,,0.0058,11.5,11.5,1
2022-01-06,1787.0999755859375,1791.300048828125,1787.0999755859375,1788.699951171875,30,XAU/USD,,,,-0.0197,4.2,1.6,1
2022-01-07,1791.800048828125,1797.0,1784.4000244140625,1797.0,17,XAU/USD,,,,0.0046,12.6,5.2,1
2022-01-10,1794.9000244140625,1798.699951171875,1790.4000244140625,1798.4000244140625,534,XAU/USD,,,,0.0008,8.3,3.5,1
2022-01-11,1803.9000244140625,1822.5,1803.0,1818.5999755859373,743,XAU/USD,1805.81,,,0.0112,19.5,14.7,1
2022-01-12,1819.0,1827.199951171875,1816.9000244140625,1827.199951171875,1547,XAU/USD,1809.79,,,0.0047,10.3,8.2,1
2022-01-13,1819.800048828125,1823.0,1815.4000244140625,1821.199951171875,40,XAU/USD,1810.81,,,-0.0033,7.6,1.4,1
2022-01-14,1821.5,1822.0,1816.5,1816.5,816,XAU/USD,1809.66,,,-0.0026,5.5,-5.0,0
2022-01-18,1816.800048828125,1820.0999755859373,1812.300048828125,1812.300048828125,900,XAU/USD,1813.03,,,-0.0023,7.8,-4.5,0
2022-01-19,1817.4000244140625,1843.0999755859373,1817.4000244140625,1843.0999755859373,4,XAU/USD,1819.61,,,0.017,25.7,25.7,1
2022-01-20,1840.5999755859373,1843.0,1838.199951171875,1842.5,20,XAU/USD,1825.91,,,-0.0003,4.8,1.9,1
2022-01-21,1838.0,1842.4000244140625,1828.9000244140625,1831.800048828125,19,XAU/USD,1827.8,,,-0.0058,13.5,-6.2,0
2022-01-24,1837.9000244140625,1842.0999755859373,1837.9000244140625,1841.699951171875,8,XAU/USD,1829.87,,,0.0054,4.2,3.8,1
2022-01-25,1843.0,1852.699951171875,1842.0,1852.699951171875,11,XAU/USD,1834.37,,,0.006,10.7,9.7,1
2022-01-26,1829.9000244140625,1829.9000244140625,1829.9000244140625,1829.9000244140625,55,XAU/USD,1836.29,,,-0.0123,0.0,0.0,0
2022-01-27,1793.300048828125,1793.300048828125,1793.300048828125,1793.300048828125,196036,XAU/USD,1833.57,,,-0.02,0.0,0.0,0
2022-01-28,1797.5,1798.4000244140625,1778.800048828125,1784.9000244140625,28521,XAU/USD,1825.26,,,-0.0047,19.6,-12.6,0
2022-01-31,1788.5,1798.5,1785.0999755859375,1795.0,1735,XAU/USD,1818.47,,,0.0057,13.4,6.5,1
2022-02-01,1797.199951171875,1806.0999755859373,1797.0999755859375,1800.300048828125,223,XAU/USD,1813.97,,,0.003,9.0,3.1,1
2022-02-02,1797.800048828125,1810.0999755859373,1795.0999755859375,1809.199951171875,1690,XAU/USD,1809.33,,,0.0049,15.0,11.4,1
2022-02-03,1805.800048828125,1808.0999755859373,1787.9000244140625,1803.0,466,XAU/USD,1802.23,,,-0.0034,20.2,-2.8,0
2022-02-04,1806.0,1813.699951171875,1792.5,1806.5999755859373,571,XAU/USD,1798.9,,,0.002,21.2,0.6,1
2022-02-07,1812.199951171875,1821.300048828125,1809.0999755859373,1820.5999755859373,601,XAU/USD,1802.8,,,0.0077,12.2,8.4,1
2022-02-08,1818.9000244140625,1827.5999755859373,1815.0,1826.5999755859373,108,XAU/USD,1808.76,,,0.0033,12.6,7.7,1
2022-02-09,1825.4000244140625,1835.199951171875,1825.300048828125,1835.199951171875,683,XAU/USD,1814.5,,,0.0047,9.9,9.8,1
2022-02-10,1833.300048828125,1842.0999755859373,1820.800048828125,1836.199951171875,365,XAU/USD,1819.63,,,0.0005,21.3,2.9,1
2022-02-11,1822.0,1864.800048828125,1822.0,1840.800048828125,181,XAU/USD,1824.14,,,0.0025,42.8,18.8,1
2022-02-14,1861.800048828125,1870.5999755859373,1854.5999755859373,1868.0,79,XAU/USD,1833.43,1819.31,,0.0148,16.0,6.2,1
2022-02-15,1872.5999755859373,1879.699951171875,1847.4000244140625,1854.800048828125,86,XAU/USD,1840.31,1821.16,,-0.0071,32.3,-17.8,0
2022-02-16,1858.699951171875,1870.199951171875,1856.300048828125,1870.199951171875,34,XAU/USD,1847.4,1823.03,,0.0083,13.9,11.5,1
2022-02-17,1876.300048828125,1900.699951171875,1876.199951171875,1900.699951171875,393,XAU/USD,1857.99,1825.57,,0.0163,24.5,24.4,1
2022-02-18,1899.4000244140625,1899.4000244140625,1890.699951171875,1898.5999755859373,51,XAU/USD,1867.04,1829.23,,-0.0011,8.7,-0.8,0
2022-02-22,1908.0999755859373,1912.0,1890.800048828125,1906.0999755859373,173,XAU/USD,1877.03,1832.87,,0.004,21.2,-2.0,0
2022-02-23,1896.5999755859373,1910.5999755859373,1895.699951171875,1909.199951171875,73,XAU/USD,1886.8,1836.56,,0.0016,14.9,12.6,1
2022-02-24,1911.9000244140625,1972.5,1911.699951171875,1925.0999755859373,2706,XAU/USD,1894.96,1840.11,,0.0083,60.8,13.2,1
2022-02-25,1906.9000244140625,1920.0,1883.5999755859373,1886.5,586,XAU/USD,1899.49,1842.09,,-0.0201,36.4,-20.4,0
2022-02-28,1928.300048828125,1928.4000244140625,1894.199951171875,1899.4000244140625,390,XAU/USD,1903.66,1844.69,,0.0068,34.2,-28.9,0
2022-03-01,1908.300048828125,1942.4000244140625,1903.800048828125,1942.4000244140625,547,XAU/USD,1909.61,1848.89,,0.0226,38.6,34.1,1
2022-03-02,1945.5999755859373,1948.199951171875,1919.800048828125,1920.9000244140625,109,XAU/USD,1912.8,1852.51,,-0.0111,28.4,-24.7,0
2022-03-03,1930.5,1940.300048828125,1924.800048828125,1934.4000244140625,122,XAU/USD,1916.84,1855.55,,0.007,15.5,3.9,1
2022-03-04,1937.0,1970.9000244140625,1935.5999755859373,1965.0999755859373,47,XAU/USD,1924.83,1859.64,,0.0159,35.3,28.1,1
2022-03-07,1989.0,2001.0999755859373,1963.0,1993.9000244140625,2516,XAU/USD,1934.66,1865.04,,0.0147,38.1,4.9,1
